eventName,year,categoryName,characterName,isWinner,isMultifilm,nomineeIds,nomId,filmId,name,surname,placeName,stateName,dateOfBirth,raceName,religionName,sexualOrientationName,nominationName,movieName,bioURL
8,1935,Directing,,False,False,nm0515979,an0050255,tt0026752,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,Cavalcade,http://www.nndb.com/people/626/000042500/
3,1929,Acting,Benjamin Disraeli,True,False,nm0002183,an0053839,tt0019823,George,Arliss,London, England,1868-04-10,White,Na,Straight,Best Actor,Desraeli,http://www.nndb.com/people/740/000063551/
3,1929,Acting,"Oxonian, the Rajah of Rukh",False,False,nm0002183,an0053840,tt0020938,George,Arliss,London, England,1868-04-10,White,Na,Straight,Best Actor,Desraeli,http://www.nndb.com/people/740/000063551/
3,1929,Acting,'Machine Gun' Butch Schmidt,False,False,nm0000891,an0053841,tt0020686,Wallace,Beery,Kansas City, Mo,1885-04-01,White,Na,Straight,Best Actor,The Champ,http://www.nndb.com/people/976/000043847/
5,1931,Acting,Champ,True,False,nm0000891,an0053438,tt0021730,Wallace,Beery,Kansas City, Mo,1885-04-01,White,Na,Straight,Best Actor,The Champ,http://www.nndb.com/people/976/000043847/
3,1929,Acting,Hugh 'Bulldog' Drummond,False,True,nm0172903,an0053844,tt0019735,Ronald,Colman,Richmond, Surrey,1891-02-09,White,Na,Straight,Best Actor,A Double Life,http://www.nndb.com/people/619/000042493/
3,1929,Acting,Michel,False,True,nm0172903,an0053845,tt0019785,Ronald,Colman,Richmond, Surrey,1891-02-09,White,Na,Straight,Best Actor,A Double Life,http://www.nndb.com/people/619/000042493/
15,1942,Acting,Charles Ranier,False,False,nm0172903,an0051615,tt0035238,Ronald,Colman,Richmond, Surrey,1891-02-09,White,Na,Straight,Best Actor,A Double Life,http://www.nndb.com/people/619/000042493/
20,1947,Acting,Anthony John,True,False,nm0172903,an0048659,tt0039335,Ronald,Colman,Richmond, Surrey,1891-02-09,White,Na,Straight,Best Actor,A Double Life,http://www.nndb.com/people/619/000042493/
3,1929,Acting,Jerry,True,False,nm0790454,an0053847,tt0020827,Norma,Shearer,Montreal, Quebec,1902-08-10,White,Na,Straight,Best Actress,The Divorcee,http://www.nndb.com/people/813/000063624/
3,1929,Acting,Lucia 'Lally' Marlett,False,False,nm0790454,an0053852,tt0020488,Norma,Shearer,Montreal, Quebec,1902-08-10,White,Na,Straight,Best Actress,The Divorcee,http://www.nndb.com/people/813/000063624/
4,1930,Acting,Jan Ashe,False,False,nm0790454,an0050089,tt0021885,Norma,Shearer,Montreal, Quebec,1902-08-10,White,Na,Straight,Best Actress,The Divorcee,http://www.nndb.com/people/813/000063624/
7,1934,Acting,Elizabeth Barrett,False,False,nm0790454,an0056494,tt0024865,Norma,Shearer,Montreal, Quebec,1902-08-10,White,Na,Straight,Best Actress,The Divorcee,http://www.nndb.com/people/813/000063624/
9,1936,Acting,Juliet,False,False,nm0790454,an0056274,tt0028203,Norma,Shearer,Montreal, Quebec,1902-08-10,White,Na,Straight,Best Actress,The Divorcee,http://www.nndb.com/people/813/000063624/
11,1938,Acting,Marie Antoinette,False,False,nm0790454,an0049854,tt0030418,Norma,Shearer,Montreal, Quebec,1902-08-10,White,Na,Straight,Best Actress,The Divorcee,http://www.nndb.com/people/813/000063624/
4,1930,Acting,Tony Cavendish,False,False,nm0545298,an0050083,tt0021322,Fredric,March,Racine, Wi,1897-08-31,White,Na,Straight,Best Actor,The Best Years of Our Lives,http://www.nndb.com/people/255/000043126/
5,1931,Acting,Dr. Henry Jekyll/Mr. Hyde,True,False,nm0545298,an0053439,tt0022835,Fredric,March,Racine, Wi,1897-08-31,White,Na,Straight,Best Actor,The Best Years of Our Lives,http://www.nndb.com/people/255/000043126/
10,1937,Acting,Norman Maine (Alfred Hinkel),False,False,nm0545298,an0047880,tt0029606,Fredric,March,Racine, Wi,1897-08-31,White,Na,Straight,Best Actor,The Best Years of Our Lives,http://www.nndb.com/people/255/000043126/
19,1946,Acting,Al Stephenson,True,False,nm0545298,an0047573,tt0036868,Fredric,March,Racine, Wi,1897-08-31,White,Na,Straight,Best Actor,The Best Years of Our Lives,http://www.nndb.com/people/255/000043126/
24,1951,Acting,Willy Loman,False,False,nm0545298,an0050659,tt0043458,Fredric,March,Racine, Wi,1897-08-31,White,Na,Straight,Best Actor,The Best Years of Our Lives,http://www.nndb.com/people/255/000043126/
4,1930,Acting,Min,True,False,nm0237597,an0050085,tt0021148,Marie,Dressler,Cobourg, Ontario,1868-11-02,White,Na,Straight,Best Actress,Min and Bill,http://www.nndb.com/people/814/000063625/
5,1931,Acting,Emma,False,False,nm0237597,an0053442,tt0022854,Marie,Dressler,Cobourg, Ontario,1868-11-02,White,Na,Straight,Best Actress,Min and Bill,http://www.nndb.com/people/814/000063625/
4,1930,Directing,,True,False,nm0851537,an0050090,tt0022397,Norman,Taurog,Chicago, Il,1899-02-23,White,Na,Straight,Best Director,Skippy,http://www.nndb.com/people/544/000041421/
11,1938,Directing,,False,False,nm0851537,an0049869,tt0029942,Norman,Taurog,Chicago, Il,1899-02-23,White,Na,Straight,Best Director,Skippy,http://www.nndb.com/people/544/000041421/
5,1931,Acting,Madelon,True,False,nm0371040,an0053441,tt0022386,Helen,Hayes,Washington, Dc,1900-10-10,White,Na,Straight,Best Actress,The Sin of Madelon Claudet,http://www.nndb.com/people/908/000031815/
5,1931,Acting,Madelon,True,False,nm0371040,an0053441,tt0022386,Helen,Hayes,Washington, Dc,1900-10-10,White,Na,Straight,Best Supporting Actress,Airport,http://www.nndb.com/people/908/000031815/
43,1970,Acting,Ada Quonsett,True,False,nm0371040,an0055891,tt0065377,Helen,Hayes,Washington, Dc,1900-10-10,White,Na,Straight,Best Actress,The Sin of Madelon Claudet,http://www.nndb.com/people/908/000031815/
43,1970,Acting,Ada Quonsett,True,False,nm0371040,an0055891,tt0065377,Helen,Hayes,Washington, Dc,1900-10-10,White,Na,Straight,Best Supporting Actress,Airport,http://www.nndb.com/people/908/000031815/
6,1932,Acting,Henry VIII,True,False,nm0001452,an0052207,tt0024473,Charles,Laughton,Victoria Hotel, Scarborough,1899-07-01,White,Roman Catholic,Gay,Best Actor,The Private Life of Henry VIII,http://www.nndb.com/people/884/000042758/
8,1935,Acting,Captain Bligh,False,False,nm0001452,an0050244,tt0026752,Charles,Laughton,Victoria Hotel, Scarborough,1899-07-01,White,Roman Catholic,Gay,Best Actor,The Private Life of Henry VIII,http://www.nndb.com/people/884/000042758/
30,1957,Acting,Sir Wilfrid Robarts,False,False,nm0001452,an0053517,tt0051201,Charles,Laughton,Victoria Hotel, Scarborough,1899-07-01,White,Roman Catholic,Gay,Best Actor,The Private Life of Henry VIII,http://www.nndb.com/people/884/000042758/
6,1932,Acting,Eva Lovelace,True,False,nm0000031,an0052210,tt0024353,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
6,1932,Acting,Eva Lovelace,True,False,nm0000031,an0052210,tt0024353,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
6,1932,Acting,Eva Lovelace,True,False,nm0000031,an0052210,tt0024353,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
6,1932,Acting,Eva Lovelace,True,False,nm0000031,an0052210,tt0024353,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
8,1935,Acting,Alice Adams,False,False,nm0000031,an0050250,tt0026056,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
8,1935,Acting,Alice Adams,False,False,nm0000031,an0050250,tt0026056,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
8,1935,Acting,Alice Adams,False,False,nm0000031,an0050250,tt0026056,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
8,1935,Acting,Alice Adams,False,False,nm0000031,an0050250,tt0026056,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
13,1940,Acting,Tracy Lord,False,False,nm0000031,an0052932,tt0032904,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
13,1940,Acting,Tracy Lord,False,False,nm0000031,an0052932,tt0032904,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
13,1940,Acting,Tracy Lord,False,False,nm0000031,an0052932,tt0032904,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
13,1940,Acting,Tracy Lord,False,False,nm0000031,an0052932,tt0032904,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
15,1942,Acting,Tess Harding,False,False,nm0000031,an0051621,tt0035567,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
15,1942,Acting,Tess Harding,False,False,nm0000031,an0051621,tt0035567,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
15,1942,Acting,Tess Harding,False,False,nm0000031,an0051621,tt0035567,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
15,1942,Acting,Tess Harding,False,False,nm0000031,an0051621,tt0035567,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
24,1951,Acting,Rose Sayer,False,False,nm0000031,an0050661,tt0043265,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
24,1951,Acting,Rose Sayer,False,False,nm0000031,an0050661,tt0043265,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
24,1951,Acting,Rose Sayer,False,False,nm0000031,an0050661,tt0043265,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
24,1951,Acting,Rose Sayer,False,False,nm0000031,an0050661,tt0043265,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
28,1955,Acting,Jane Hudson,False,False,nm0000031,an0054177,tt0048673,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
28,1955,Acting,Jane Hudson,False,False,nm0000031,an0054177,tt0048673,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
28,1955,Acting,Jane Hudson,False,False,nm0000031,an0054177,tt0048673,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
28,1955,Acting,Jane Hudson,False,False,nm0000031,an0054177,tt0048673,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
29,1956,Acting,Lizzie Curry,False,False,nm0000031,an0051491,tt0049653,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
29,1956,Acting,Lizzie Curry,False,False,nm0000031,an0051491,tt0049653,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
29,1956,Acting,Lizzie Curry,False,False,nm0000031,an0051491,tt0049653,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
29,1956,Acting,Lizzie Curry,False,False,nm0000031,an0051491,tt0049653,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
32,1959,Acting,Mrs. Venable,False,False,nm0000031,an0055738,tt0053318,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
32,1959,Acting,Mrs. Venable,False,False,nm0000031,an0055738,tt0053318,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
32,1959,Acting,Mrs. Venable,False,False,nm0000031,an0055738,tt0053318,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
32,1959,Acting,Mrs. Venable,False,False,nm0000031,an0055738,tt0053318,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
35,1962,Acting,Mary Tyrone,False,False,nm0000031,an0053650,tt0056196,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
35,1962,Acting,Mary Tyrone,False,False,nm0000031,an0053650,tt0056196,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
35,1962,Acting,Mary Tyrone,False,False,nm0000031,an0053650,tt0056196,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
35,1962,Acting,Mary Tyrone,False,False,nm0000031,an0053650,tt0056196,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
40,1967,Acting,Christina Drayton,True,False,nm0000031,an0048776,tt0061735,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
40,1967,Acting,Christina Drayton,True,False,nm0000031,an0048776,tt0061735,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
40,1967,Acting,Christina Drayton,True,False,nm0000031,an0048776,tt0061735,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
40,1967,Acting,Christina Drayton,True,False,nm0000031,an0048776,tt0061735,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
41,1968,Acting,Queen Eleanor of Aquitaine,True,False,nm0000031,an0055619,tt0063227,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
41,1968,Acting,Queen Eleanor of Aquitaine,True,False,nm0000031,an0055619,tt0063227,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
41,1968,Acting,Queen Eleanor of Aquitaine,True,False,nm0000031,an0055619,tt0063227,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
41,1968,Acting,Queen Eleanor of Aquitaine,True,False,nm0000031,an0055619,tt0063227,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
54,1981,Acting,Ethel Thayer,True,False,nm0000031,an0049731,tt0082846,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Morning Glory,http://www.nndb.com/people/775/000023706/
54,1981,Acting,Ethel Thayer,True,False,nm0000031,an0049731,tt0082846,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,Guess Who's Coming to Dinner,http://www.nndb.com/people/775/000023706/
54,1981,Acting,Ethel Thayer,True,False,nm0000031,an0049731,tt0082846,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,The Lion in Winter,http://www.nndb.com/people/775/000023706/
54,1981,Acting,Ethel Thayer,True,False,nm0000031,an0049731,tt0082846,Katharine,Hepburn,Hartford, Ct,1907-05-12,White,Atheist,Bisexual,Best Actress,On Golden Pond,http://www.nndb.com/people/775/000023706/
6,1932,Directing,,False,False,nm0001008,an0052214,tt0024240,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,It Happened One Night,http://www.nndb.com/people/459/000032363/
6,1932,Directing,,False,False,nm0001008,an0052214,tt0024240,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,Mr. Deeds Goes to Town,http://www.nndb.com/people/459/000032363/
6,1932,Directing,,False,False,nm0001008,an0052214,tt0024240,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,You Can't Take It with You,http://www.nndb.com/people/459/000032363/
7,1934,Directing,,True,False,nm0001008,an0056496,tt0025316,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,It Happened One Night,http://www.nndb.com/people/459/000032363/
7,1934,Directing,,True,False,nm0001008,an0056496,tt0025316,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,Mr. Deeds Goes to Town,http://www.nndb.com/people/459/000032363/
7,1934,Directing,,True,False,nm0001008,an0056496,tt0025316,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,You Can't Take It with You,http://www.nndb.com/people/459/000032363/
9,1936,Directing,,True,False,nm0001008,an0056285,tt0027996,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,It Happened One Night,http://www.nndb.com/people/459/000032363/
9,1936,Directing,,True,False,nm0001008,an0056285,tt0027996,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,Mr. Deeds Goes to Town,http://www.nndb.com/people/459/000032363/
9,1936,Directing,,True,False,nm0001008,an0056285,tt0027996,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,You Can't Take It with You,http://www.nndb.com/people/459/000032363/
11,1938,Directing,,True,False,nm0001008,an0049866,tt0030993,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,It Happened One Night,http://www.nndb.com/people/459/000032363/
11,1938,Directing,,True,False,nm0001008,an0049866,tt0030993,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,Mr. Deeds Goes to Town,http://www.nndb.com/people/459/000032363/
11,1938,Directing,,True,False,nm0001008,an0049866,tt0030993,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,You Can't Take It with You,http://www.nndb.com/people/459/000032363/
12,1939,Directing,,False,False,nm0001008,an0047463,tt0031679,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,It Happened One Night,http://www.nndb.com/people/459/000032363/
12,1939,Directing,,False,False,nm0001008,an0047463,tt0031679,Frank,Capra,Bisacquino, Sicily,1897-05-18,White,Roman Catholic,Straight,Best Director,Mr. Deeds Goes to Town,http://www.nndb.com/people/459/000032363/
